Prediction (Amy),Prediction (Bella),Prediction (Colleen),Prediction (Fizz),Prediction (Holly),Prediction (Ister),Prediction (Liboulen),Prediction (Linestra),Prediction (Ziqual),Succeeded?
99,11,75.5,54,55,55,78.7,73.8,15,1
1,8,61.7,49,52,54,67.7,60,28,0
1,10,64.9,61,58,52,70.7,63.2,8,1
99,6,51.9,58,59,58,56.7,50.2,56,1
99,11,60.7,60,60,53,57.7,59,21,0
99,7,58.6,59,61,52,62.7,56.9,18,0
99,16,81.1,48,64,58,83.7,79.4,24,1
99,18,83.5,53,74,58,81.7,81.8,79,1
1,12,71.1,58,71,59,70.7,69.4,81,1
1,14,78.4,57,70,60,85.7,76.7,39,1
1,11,58.7,66,61,55,66.7,57,50,1
99,14,71.9,54,71,59,72.7,70.2,62,1
1,18,83.3,49,62,52,81.7,81.6,18,1
1,16,83.4,59,78,58,79.7,81.7,63,1
1,15,79.8,51,61,52,74.7,78.1,4,0
99,9,67.5,64,70,55,58.7,65.8,50,1
99,11,68.4,62,61,56,65.7,66.7,17,1
1,12,66.9,61,65,58,83.7,65.2,47,1
1,8,62.2,49,55,54,72.7,60.5,20,0
1,12,61.4,54,54,58,66.7,59.7,8,0
1,13,77.3,58,63,55,81.7,75.6,15,0
99,9,53.8,60,62,57,67.7,52.1,69,1
99,9,60.9,52,57,54,65.7,59.2,4,0
1,14,86.1,53,69,54,88.7,84.4,27,1
1,13,67.8,62,66,53,67.7,66.1,30,1
1,14,83.3,48,62,56,87.7,81.6,30,1
99,17,80.2,51,66,52,76.7,78.5,8,0
1,9,65.4,50,55,54,82.7,63.7,12,0
1,9,62.8,61,57,58,76.7,61.1,31,1
1,12,69.3,51,58,56,79.7,67.6,48,1
99,10,54.5,66,69,55,51.7,52.8,39,1
1,14,83.9,59,71,57,87.7,82.2,42,1
1,6,57.6,65,65,56,73.7,55.9,53,1
99,9,75.7,57,65,57,86.7,74,42,1
99,6,47.7,62,59,57,54.7,46,55,1
1,10,68.9,62,69,55,92.7,67.2,49,1
1,12,69.6,65,68,56,74.7,67.9,35,0
1,10,60,51,66,60,63.7,58.3,80,1
1,15,80,60,73,57,79.7,78.3,21,1
1,17,89.4,58,71,51,80.7,87.7,3,0
1,11,66,58,65,59,64.7,64.3,62,1
1,18,90.5,52,61,51,89.7,88.8,3,1
99,13,72.6,55,60,54,64.7,70.9,16,1
1,16,78.3,47,53,55,87.7,76.6,19,1
1,10,62.4,68,69,58,54.7,60.7,55,1
1,16,91,61,78,56,92.7,89.3,48,1
1,16,81.2,53,67,58,88.7,79.5,79,1
1,13,75.7,53,65,52,80.7,74,17,1
1,11,67.9,63,60,56,75.7,66.2,42,0
99,9,48.2,60,59,55,45.7,46.5,34,1
1,12,71.7,58,63,55,60.7,70,29,1
1,17,86.6,48,74,55,79.7,84.9,44,1
1,10,72.1,57,57,58,83.7,70.4,32,1
1,13,82.1,61,64,57,88.7,80.4,28,1
99,14,79.3,60,69,55,70.7,77.6,50,1
99,10,68.8,62,72,55,57.7,67.1,45,1
99,12,83.4,58,65,53,90.7,81.7,12,1
1,11,80.5,52,63,60,90.7,78.8,50,1
1,13,60.6,54,55,53,64.7,58.9,26,1
99,9,65.9,54,63,58,62.7,64.2,39,1
99,9,65.8,47,44,52,77.7,64.1,4,0
1,18,83.6,58,70,60,81.7,81.9,29,1
1,14,73.4,59,70,60,73.7,71.7,39,1
99,16,64.1,58,57,55,66.7,62.4,24,1
1,11,70.4,59,65,60,76.7,68.7,60,1
1,16,74.2,58,69,53,85.7,72.5,24,1
99,4,49.8,64,64,55,53.7,48.1,40,0
1,3,41.1,62,49,58,51.7,39.4,24,0
1,11,57.8,59,59,56,66.7,56.1,54,0
1,7,48.3,62,56,58,58.7,46.6,40,1
1,8,69.5,60,62,58,75.7,67.8,39,1
99,7,61.1,57,58,56,73.7,59.4,41,1
99,17,87.4,50,72,55,84.7,85.7,35,1
99,17,73,66,75,57,78.7,71.3,56,1
99,8,61.4,59,61,56,67.7,59.7,53,1
1,9,75.4,58,69,59,76.7,73.7,90,0
1,12,81.4,58,66,59,94.7,79.7,63,1
99,7,63.4,56,56,51,69.7,61.7,9,0
1,11,62.6,67,72,59,58.7,60.9,54,1
99,9,65.2,49,59,52,72.7,63.5,14,0
99,7,49.3,70,61,59,53.7,47.6,81,1
1,7,68.4,60,61,53,81.7,66.7,12,1
99,8,61.5,56,63,57,77.7,59.8,56,1
1,7,69.8,65,65,56,77.7,68.1,60,1
99,2,47.8,58,56,55,50.7,46.1,34,0
1,17,89.8,46,58,55,90.7,88.1,15,0
1,10,83.1,52,61,53,98.7,81.4,21,0
1,15,77.6,58,66,58,83.7,75.9,55,1
1,15,72.7,52,69,60,71.7,71,70,1
1,19,89.9,48,65,56,87.7,88.2,29,0
1,14,74.4,54,63,53,78.7,72.7,12,1
1,15,86.9,46,60,53,82.7,85.2,24,0
99,10,61.8,50,54,51,69.7,60.1,9,1
1,16,87.9,60,64,55,91.7,86.2,14,1
1,12,76.3,55,62,54,87.7,74.6,35,1
1,9,61.2,67,64,58,60.7,59.5,48,1
1,15,84.7,67,70,57,81.7,83,42,1
1,13,75.5,58,69,59,75.7,73.8,27,1
1,14,61.7,47,59,52,58.7,60,16,1
99,14,76.5,57,55,54,84.7,74.8,16,1
1,11,77.4,56,66,57,74.7,75.7,48,1
1,5,51.3,66,53,55,67.7,49.6,25,1
1,5,48.6,65,65,59,56.7,46.9,36,1
99,6,48,66,52,56,54.7,46.3,29,0
1,11,48.9,45,50,52,42.7,47.2,8,0
1,10,71.5,50,59,55,68.7,69.8,50,1
99,16,87.8,58,65,56,86.7,86.1,6,0
99,4,56.6,60,55,53,56.7,54.9,23,0
1,12,59.1,62,64,59,65.7,57.4,63,1
99,10,64,54,67,59,60.7,62.3,45,1
1,7,74.6,55,60,56,84.7,72.9,53,1
99,12,59.5,52,61,53,50.7,57.8,29,1
1,17,77.4,65,71,56,85.7,75.7,54,1
1,12,59.6,55,48,54,70.7,57.9,15,0
99,10,62,54,59,57,49.7,60.3,49,1
1,8,67.2,54,65,58,69.7,65.5,23,1
1,7,57.8,48,48,59,77.7,56.1,27,0
99,15,75.2,55,67,60,67.7,73.5,79,1
99,12,59.9,54,55,60,70.7,58.2,10,0
1,11,53.7,54,54,58,54.7,52,40,0
1,10,66.5,62,60,56,66.7,64.8,6,1
1,8,50.5,63,63,59,62.7,48.8,72,1
1,11,65.6,50,63,58,69.7,63.9,39,0
99,16,83.9,64,78,58,79.7,82.2,40,1
1,12,73.9,56,60,57,76.7,72.2,21,0
99,9,61,57,53,58,80.7,59.3,31,0
99,9,63.2,49,57,58,66.7,61.5,31,1
1,4,52.5,54,47,55,59.7,50.8,25,0
1,10,68.8,52,62,55,62.7,67.1,15,1
1,13,74.7,58,59,51,70.7,73,5,1
1,8,42.9,55,54,54,39.7,41.2,39,0
99,7,75.2,55,57,56,84.7,73.5,12,1
99,11,70.7,65,63,57,76.7,69,28,1
1,16,74.3,60,73,57,80.7,72.6,55,1
99,13,84.6,44,56,51,84.7,82.9,5,1
1,11,73.2,68,73,59,82.7,71.5,81,1
1,12,71.7,49,55,57,80.7,70,41,0
1,5,58.8,62,64,57,65.7,57.1,56,1
1,11,61.1,62,56,53,47.7,59.4,9,0
1,10,66.6,56,60,55,76.7,64.9,34,1
99,3,46.8,54,55,55,58.7,45.1,40,1
1,14,76.5,65,67,58,89.7,74.8,48,1
99,11,56.4,65,63,58,55.7,54.7,80,1
1,16,85.7,58,75,55,75.7,84,39,1
99,10,64.2,51,59,56,70.7,62.5,42,0
1,18,78.5,53,68,56,84.7,76.8,48,1
1,17,77.1,56,67,57,85.7,75.4,20,1
1,17,79.4,47,59,52,86.7,77.7,12,0
1,13,72.3,53,57,55,64.7,70.6,10,1
99,11,60.5,66,63,55,47.7,58.8,35,1
1,17,92.5,56,76,60,86.7,90.6,69,1
99,16,80.7,61,65,55,83.7,79,20,1
1,11,82.4,60,70,55,86.7,80.7,50,1
99,14,79.3,59,64,56,70.7,77.6,41,1
99,13,80.1,67,69,59,82.7,78.4,71,1
1,14,69,64,62,57,66.7,67.3,34,1
99,5,58.4,52,53,55,65.7,56.7,5,1
99,6,50.1,64,59,53,65.7,48.4,26,1
1,16,85.8,52,60,51,85.7,84.1,7,1
1,12,78.9,58,55,53,78.7,77.2,3,1
1,12,66.6,64,64,53,63.7,64.9,27,1
1,12,68.7,59,66,59,74.7,67,71,1
1,15,66,60,68,57,73.7,64.3,55,0
99,10,61.9,61,63,56,64.7,60.2,48,1
99,12,67.2,59,65,57,73.7,65.5,42,0
99,9,62.6,50,51,55,66.7,60.9,35,1
99,4,52.4,61,56,56,49.7,50.7,41,0
1,14,75.8,58,68,59,64.7,74.1,44,1
1,16,76.3,62,71,59,86.7,74.6,44,1
99,18,88.9,56,74,57,88.7,87.2,56,0
1,4,52.4,54,54,57,49.7,50.7,69,1
99,14,73.4,61,66,54,83.7,71.7,40,1
1,9,62.8,57,62,58,71.7,61.1,32,1
99,11,65.3,56,58,57,49.7,63.6,21,0
1,16,68.9,66,75,59,68.7,67.2,90,1
1,16,81.4,59,79,60,78.7,79.7,100,1
1,13,65.4,52,51,54,71.7,63.7,4,0
1,13,70.1,65,67,56,73.7,68.4,41,0
1,12,76.4,66,75,57,77.7,74.7,69,1
1,11,77,55,66,57,79.7,75.3,41,0
99,8,69.3,59,64,54,75.7,67.6,31,0
99,12,78.3,55,73,58,73.7,76.6,63,1
1,12,76,63,66,56,72.7,74.3,24,1
1,9,55.5,56,59,53,53.7,53.8,30,1
1,13,75.7,51,62,54,70.7,74,19,0
99,8,78.9,53,59,54,89.7,77.2,16,0
1,15,79.5,53,70,59,69.7,77.8,54,1
99,9,69.9,63,63,58,79.7,68.2,64,1
1,11,74.7,54,65,55,78.7,73,44,0
1,10,61.6,63,67,54,54.7,59.9,36,1
99,10,66.3,63,60,55,66.7,64.6,19,0
99,11,69.8,53,61,59,86.7,68.1,35,1
1,14,79.3,60,65,58,80.7,77.6,55,1
1,12,64.4,65,71,56,67.7,62.7,60,0
99,15,72.8,60,62,55,71.7,71.1,34,0
1,15,85.3,61,68,54,86.7,83.6,8,1
1,6,54.2,64,66,58,47.7,52.5,56,1
1,9,62.7,60,62,51,76.7,61,7,1
1,15,82,55,66,56,80.7,80.3,12,1
1,10,63.9,52,52,57,75.7,62.2,34,0
99,15,77.1,47,52,54,83.7,75.4,19,0
99,8,61.4,57,55,55,62.7,59.7,19,1
1,7,60.8,57,56,54,58.7,59.1,8,0
1,15,73.1,58,62,51,71.7,71.4,9,1
1,14,80.8,54,63,56,91.7,79.1,30,0
1,10,64.9,64,61,57,65.7,63.2,48,1
1,10,64.1,60,68,57,45.7,62.4,55,0
1,6,47.2,59,53,52,59.7,45.5,4,1
99,9,62.8,57,59,60,71.7,61.1,60,1
1,16,69.1,66,73,57,73.7,67.4,35,0
1,13,62.7,54,63,55,55.7,61,30,1
1,7,65.8,64,70,53,70.7,64.1,30,1
1,6,49.9,55,55,58,55.7,48.2,15,1
99,10,71.2,67,63,58,78.7,69.5,48,1
1,6,61.5,58,63,57,75.7,59.8,56,0
1,16,88.1,54,68,55,86.7,86.4,24,1
99,10,59,59,57,58,58.7,57.3,47,1
1,14,81.6,58,57,52,91.7,79.9,2,0
99,12,72,53,71,60,60.7,70.3,19,1
1,17,89,54,64,53,85.7,87.3,9,0
1,17,72.6,66,70,59,73.7,70.9,63,1
99,12,64.3,60,67,57,57.7,62.6,34,1
1,13,75,51,56,57,90.7,73.3,27,1
1,8,52,51,53,59,53.7,50.3,18,1
1,8,60.1,62,62,55,56.7,58.4,24,1
1,10,59.5,52,56,56,68.7,57.8,6,0
1,10,64.6,57,67,57,45.7,62.9,14,1
1,9,74.7,68,68,59,86.7,73,63,1
99,6,57.2,49,58,55,53.7,55.5,19,1
1,11,63.5,53,55,56,78.7,61.8,54,0
99,8,49.5,66,62,55,47.7,47.8,40,1
1,15,82.7,54,72,57,75.7,81,21,1
99,11,65.5,62,58,59,84.7,63.8,63,1
1,16,87.8,61,79,52,81.7,86.1,19,1
99,11,65.4,58,64,55,89.7,63.7,44,1
1,13,67.5,65,72,58,57.7,65.8,63,1
99,14,64.7,63,60,57,69.7,63,41,1
99,7,45.8,58,54,55,47.7,44.1,40,1
99,5,53.7,54,49,58,63.7,52,39,1
99,11,72.5,52,58,55,77.7,70.8,29,0
1,12,63.9,54,59,53,57.7,62.2,23,1
99,12,67.1,50,52,56,68.7,65.4,30,1
1,8,60,61,56,56,76.7,58.3,42,1
1,9,62.6,54,61,57,66.7,60.9,49,0
99,16,79,61,67,59,87.7,77.3,18,0
1,17,85,63,67,52,78.7,83.3,13,0
1,7,60.2,63,55,56,78.7,58.5,47,1
1,14,80.6,50,62,51,81.7,78.9,6,1
1,2,49.4,64,59,55,51.7,47.7,29,0
1,15,85.1,61,69,58,76.7,83.4,64,1
1,9,51.6,55,57,56,56.7,49.9,48,0
1,7,60.2,65,64,57,68.7,58.5,28,0
99,14,81.1,57,70,54,76.7,79.4,20,1
1,9,58.7,53,54,57,64.7,57,41,1
1,12,76.1,55,67,56,82.7,74.4,41,1
1,10,66.3,60,50,51,76.7,64.6,3,1
1,17,82.6,54,65,55,82.7,80.9,5,1
99,12,64.2,59,68,59,77.7,62.5,71,0
99,10,69.1,57,54,54,72.7,67.4,20,0
99,11,57.9,61,64,59,56.7,56.2,72,1
99,9,60.9,58,63,56,60.7,59.2,6,0
1,18,83.4,60,79,57,86.7,81.7,69,1
99,13,62.6,58,66,57,65.7,60.9,49,1
99,9,63.6,55,61,52,51.7,61.9,14,1
99,8,47.9,56,57,59,46.7,46.2,45,1
1,11,66,59,63,60,79.7,64.3,59,1
99,12,71.1,58,65,57,60.7,69.4,55,1
99,13,73.3,64,71,55,74.7,71.6,30,1
1,6,71.2,55,56,54,79.7,69.5,15,1
1,11,66,48,58,57,79.7,64.3,20,0
1,12,59.2,53,60,56,50.7,57.5,12,1
1,12,64.3,55,63,57,62.7,62.6,27,1
1,10,56.9,60,58,59,62.7,55.2,62,0
1,16,78.9,57,69,60,72.7,77.2,60,1
99,8,57,63,62,56,45.7,55.3,41,1
99,11,75.1,66,71,55,73.7,73.4,25,0
1,11,56.3,53,60,55,50.7,54.6,20,1
1,11,61.3,59,62,55,67.7,59.6,20,0
1,10,67,55,57,58,76.7,65.3,47,1
99,6,40.8,49,48,56,41.7,39.1,24,0
99,12,63.9,44,48,52,57.7,62.2,2,1
1,15,74.9,55,65,52,87.7,73.2,12,0
99,7,51.6,60,56,55,44.7,49.9,45,1
1,18,83.8,61,78,56,86.7,82.1,53,1
1,3,41.7,59,57,56,46.7,40,35,1
1,3,53.4,47,48,58,56.7,51.7,32,0
1,13,65.4,55,59,54,71.7,63.7,32,0
1,16,84,53,63,59,84.7,82.3,53,1
99,7,54.1,55,60,57,55.7,52.4,27,0
99,9,65.1,60,63,59,72.7,63.4,89,1
1,17,89,57,74,52,85.7,87.3,12,0
99,12,67.3,55,64,56,68.7,65.6,23,0
99,15,77.3,60,77,57,73.7,75.6,69,1
1,12,76.5,58,60,53,77.7,74.8,15,1
99,9,60.7,66,65,57,50.7,59,63,1
99,10,72,64,67,59,88.7,70.3,45,1
1,10,66.3,56,65,59,71.7,64.6,26,0
1,13,87.3,55,63,52,90.7,85.6,6,0
1,11,80.4,56,68,53,85.7,78.7,17,0
99,6,59.4,52,62,60,64.7,57.7,49,0
99,6,60,53,61,59,54.7,58.3,71,1
99,15,79.4,58,74,51,74.7,77.7,9,1
1,17,85.3,54,77,60,83.7,83.6,70,0
1,3,43.6,64,60,57,47.7,41.9,70,0
1,10,62,60,56,54,64.7,60.3,12,0
1,7,60.7,55,66,54,48.7,59,28,0
1,12,81.5,50,54,54,84.7,79.8,12,0
1,7,66.1,48,47,53,80.7,64.4,3,0
99,9,65.4,58,70,59,67.7,63.7,89,1
1,5,53.2,61,61,57,63.7,51.5,41,1
99,11,65,55,56,52,89.7,63.3,10,1
1,7,53.1,50,57,53,55.7,51.4,18,1
99,5,53.2,52,49,51,68.7,51.5,4,0
1,12,71.6,65,66,56,80.7,69.9,35,1
1,13,63.7,57,64,52,55.7,62,12,1
1,14,76.8,58,66,58,89.7,75.1,23,1
1,8,54.7,63,55,54,59.7,53,15,0
99,9,55.8,52,62,57,68.7,54.1,69,0
1,12,71.6,52,63,53,85.7,69.9,30,1
1,17,84.3,64,66,56,83.7,82.6,18,1
1,15,62.9,60,61,53,67.7,61.2,18,1
99,7,41.9,58,57,51,45.7,40.2,7,0
99,8,60.1,60,54,58,76.7,58.4,24,1
99,13,81.8,53,67,58,93.7,80.1,63,1
99,13,82.3,49,58,54,83.7,80.6,8,0
1,16,73.6,52,56,52,80.7,71.9,2,1
1,10,71.9,54,63,57,73.7,70.2,20,1
1,7,53.7,62,62,57,45.7,52,63,1
99,16,76,54,60,55,81.7,74.3,24,0
99,7,53.6,47,53,59,75.7,51.9,18,1
1,12,72.1,58,61,60,70.7,70.4,10,1
1,15,77.2,62,66,57,78.7,75.5,48,0
99,13,65.3,59,63,60,76.7,63.6,39,1
1,8,61.7,54,65,55,62.7,60,39,0
1,8,55.3,60,53,53,64.7,53.6,27,0
1,7,57.9,49,46,55,77.7,56.2,20,1
1,14,84.1,54,63,57,82.7,82.4,49,1
1,13,55.8,68,71,60,52.7,54.1,90,1
1,6,59.3,64,67,59,54.7,57.6,81,1
1,12,66.4,57,56,52,53.7,64.7,10,1
1,9,61.2,60,57,58,60.7,59.5,8,0
1,11,69.9,55,65,54,71.7,68.2,31,0
99,9,65.5,54,60,57,77.7,63.8,7,0
1,14,76.3,54,69,57,79.7,74.6,34,1
1,14,78.2,54,65,55,70.7,76.5,30,1
99,16,87.8,60,72,55,86.7,86.1,24,1
1,12,72,67,79,60,70.7,70.3,80,1
99,12,71.4,63,73,58,70.7,69.7,71,1
1,8,64.3,45,48,54,63.7,62.6,8,0
1,11,74.7,52,50,53,83.7,73,9,1
99,15,70,51,61,57,80.7,68.3,27,1
1,13,75.5,50,55,51,75.7,73.8,8,0
1,5,58.3,62,62,57,55.7,56.6,70,0
1,16,81.1,59,72,58,83.7,79.4,80,0
99,15,77.9,47,62,57,83.7,76.2,27,0
99,12,64.5,59,64,56,62.7,62.8,41,1
1,11,78,50,67,53,79.7,76.3,27,1
99,16,72,56,64,53,74.7,70.3,12,0
1,11,75.5,60,72,56,68.7,73.8,30,1
99,4,42.5,58,60,60,45.7,40.8,69,0
1,5,51.4,52,48,51,52.7,49.7,3,0
1,17,89.6,53,69,60,80.7,87.9,60,1
1,9,63.3,62,64,53,66.7,61.6,12,1
99,8,63.8,54,59,58,58.7,62.1,56,0
99,8,63.9,55,64,56,83.7,62.2,53,0
99,12,69.2,53,62,56,64.7,67.5,24,1
99,16,83.7,62,80,59,79.7,82,63,1
1,11,70.1,51,58,58,91.7,68.4,71,0
99,9,55.5,48,58,59,73.7,53.8,44,1
1,9,68.1,48,55,53,73.7,66.4,18,1
1,7,62.7,59,67,60,69.7,61,39,0
99,6,57.1,60,60,59,58.7,55.4,81,1
1,19,89.5,57,77,58,87.7,87.8,64,1
99,7,56.4,63,56,54,71.7,54.7,40,1
99,10,78.8,57,64,56,91.7,77.1,47,1
1,13,58.6,50,54,55,58.7,56.9,30,0
1,6,51.9,59,59,52,61.7,50.2,13,0
1,6,54.5,55,51,54,67.7,52.8,35,1
1,6,47.7,57,53,55,44.7,46,20,0
99,10,62.1,45,49,52,54.7,60.4,6,0
1,11,65.4,66,63,57,79.7,63.7,55,1
1,14,73.5,64,75,58,63.7,71.8,39,0
1,14,81.6,57,66,60,86.7,79.9,60,1
99,13,82.6,52,69,56,83.7,80.9,29,1
1,13,73,51,69,56,69.7,71.3,53,1
1,6,64.4,60,57,59,76.7,62.7,45,0
1,11,81.9,49,59,56,96.7,80.2,48,0
99,14,71.3,47,68,59,62.7,69.6,36,0
99,14,83.7,61,71,56,87.7,82,60,1
1,6,50,68,64,59,70.7,48.3,62,1
1,9,65.2,63,58,57,72.7,63.5,41,0
1,10,60,61,54,52,68.7,58.3,4,0
1,16,86.3,61,73,56,80.7,84.6,54,1
99,16,71.4,50,56,51,74.7,69.7,6,1
1,4,45.5,54,51,55,61.7,43.8,35,0
1,8,55.1,47,50,52,69.7,53.4,10,0
99,13,53.2,47,50,58,51.7,51.5,16,0
1,8,52.4,54,49,51,63.7,50.7,3,0
1,4,60.1,58,66,59,62.7,58.4,44,1
1,14,64.9,51,59,59,64.7,63.2,72,0
99,9,63,62,56,51,66.7,61.3,4,0
1,16,80.9,48,63,59,78.7,79.2,27,0
1,15,89.1,59,74,56,93.7,87.4,23,1
1,12,67.2,62,67,56,63.7,65.5,18,1
99,5,56.3,58,55,59,59.7,54.6,26,0
1,11,65.6,65,63,60,69.7,63.9,59,1
1,6,68.6,66,70,57,78.7,66.9,34,0
1,17,79.9,59,62,56,81.7,78.2,23,1
99,8,74.4,49,55,54,87.7,72.7,8,0
99,11,80,53,63,59,80.7,78.3,36,0
99,14,78.9,63,73,58,80.7,77.2,47,1
1,6,50,59,60,52,55.7,48.3,13,0
1,10,54.9,55,59,54,46.7,53.2,31,0
99,6,52.6,59,62,54,56.7,50.9,28,0
1,13,77,58,69,59,81.7,75.3,62,1
1,8,62.3,60,55,53,72.7,60.6,9,0
1,16,78.6,57,67,56,87.7,76.9,23,0
1,11,63.1,58,58,58,63.7,61.4,56,0
99,12,74.1,55,65,55,81.7,72.4,19,1
1,16,86,57,72,54,80.7,84.3,32,1
1,15,72.8,64,76,60,71.7,71.1,50,1
1,14,69,62,75,60,71.7,67.3,69,1
1,15,82.9,53,69,54,80.7,81.2,24,1
1,12,64.4,62,66,55,82.7,62.7,44,1
1,7,65.1,57,63,56,65.7,63.4,42,0
1,10,60,67,70,60,78.7,58.3,99,1
1,17,89.6,59,71,54,85.7,87.9,15,1
1,18,88.3,61,75,59,88.7,86.6,18,1
99,9,61,51,52,58,65.7,59.3,48,0
1,11,60.9,62,68,59,62.7,59.2,81,1
99,6,60,52,49,51,74.7,58.3,6,0
99,16,90.4,56,72,55,87.7,88.7,25,1
99,5,49.1,62,54,58,51.7,47.4,55,0
99,13,77.3,59,66,58,66.7,75.6,63,1
1,6,66.7,57,55,57,77.7,65,14,0
1,13,74.6,67,76,58,70.7,72.9,48,1
1,15,73.1,52,61,57,71.7,71.4,69,1
1,14,71,50,55,56,67.7,69.3,29,0
1,8,59.3,55,61,60,71.7,57.6,20,0
99,10,73.4,62,65,55,79.7,71.7,49,1
1,13,75.1,59,71,58,80.7,73.4,63,1
1,5,58.4,62,55,55,65.7,56.7,40,0
1,10,60.1,55,57,59,63.7,58.4,71,1
1,15,90,51,72,59,93.7,88.3,18,1
1,11,77.1,62,62,58,79.7,75.4,8,0
1,13,80.1,45,52,52,72.7,78.4,8,0
1,9,55.8,61,61,58,53.7,54.1,48,0
1,11,72.2,57,61,56,72.7,70.5,42,0
1,14,85.4,60,74,59,93.7,83.7,62,1
1,12,71.9,59,61,58,80.7,70.2,16,0
1,5,53.8,48,56,53,48.7,52.1,23,0
1,9,58.3,52,56,53,59.7,56.6,24,0
1,6,54.7,58,49,54,47.7,53,4,0
1,11,84.7,62,69,53,97.7,83,20,1
99,16,69.6,52,58,55,78.7,67.9,15,0
1,11,70.3,50,53,51,81.7,68.6,2,0
1,11,58,59,62,54,61.7,56.3,39,0
1,11,62.8,68,71,57,73.7,61.1,70,1
99,9,65.8,58,60,58,72.7,64.1,40,0
99,12,55.1,58,58,55,53.7,53.4,35,1
99,11,63,48,60,55,63.7,61.3,45,0
99,13,68,61,75,60,57.7,66.3,79,1
99,14,79.1,55,73,54,70.7,77.4,32,1
99,15,63.7,51,65,60,62.7,62,80,1
1,18,84.1,53,59,54,86.7,82.4,24,0
1,13,67.8,60,65,55,87.7,66.1,34,1
1,7,60.7,64,68,57,73.7,59,56,0
1,9,65,66,66,55,67.7,63.3,30,1
1,11,75,50,65,58,73.7,73.3,40,1
1,15,77.6,55,67,56,68.7,75.9,41,0
1,13,65.5,59,66,58,81.7,63.8,64,0
99,11,63.2,59,63,54,58.7,61.5,39,1
99,9,70.9,60,65,51,74.7,69.2,10,1
1,17,84.2,53,56,52,83.7,82.5,4,1
1,8,61.7,61,60,56,72.7,60,41,1
1,9,72.2,54,56,56,90.7,70.5,30,0
1,13,77.2,66,80,60,66.7,75.5,50,1
1,6,62.1,56,60,55,70.7,60.4,30,0
99,8,59.5,53,54,54,56.7,57.8,27,1
1,3,58.6,62,60,56,58.7,56.9,29,0
1,10,52.7,60,60,59,60.7,51,81,0
99,10,76.5,51,56,54,90.7,74.8,16,0
1,13,73.2,56,66,55,74.7,71.5,14,1
1,12,71.2,64,70,55,65.7,69.5,49,1
1,13,63.3,58,62,54,60.7,61.6,12,0
1,16,78.4,62,65,55,77.7,76.7,25,1
1,7,62.8,62,65,57,74.7,61.1,56,1
1,11,67.7,56,68,55,65.7,66,45,1
1,11,85.1,59,68,56,97.7,83.4,35,0
99,11,62.8,51,52,56,73.7,61.1,47,0
1,17,77.8,46,61,55,75.7,76.1,15,0
99,17,79.4,62,74,55,81.7,77.7,34,1
1,16,91.1,55,65,60,92.7,89.4,20,1
1,15,77.7,61,64,56,83.7,76,54,1
1,14,73.7,54,62,58,78.7,72,24,0
1,16,74.5,59,71,54,75.7,72.8,32,1
1,13,65.2,57,64,57,71.7,63.5,41,0
1,16,83.8,64,77,55,89.7,82.1,39,1
1,16,69.4,57,63,57,68.7,67.7,42,0
99,10,57.5,50,58,53,62.7,55.8,18,0
99,11,65.6,60,59,56,79.7,63.9,29,0
1,15,80.3,54,64,55,79.7,78.6,49,1
99,19,84.6,49,67,55,85.7,82.9,20,0
1,16,91,58,74,57,92.7,89.3,7,1
1,15,79.8,60,69,56,74.7,78.1,30,1
1,15,80.3,62,75,59,84.7,78.6,80,1
99,10,54.2,57,50,58,66.7,52.5,15,1
1,11,77.8,64,73,57,84.7,76.1,56,1
1,12,78.7,51,60,54,78.7,77,23,1
1,9,77.8,52,56,51,87.7,76.1,5,0
1,17,90,46,65,55,90.7,88.3,15,1
1,8,52.7,50,50,55,58.7,51,5,0
1,15,81.8,54,66,53,70.7,80.1,26,1
99,11,62.8,56,58,58,83.7,61.1,24,1
1,12,75.8,60,60,53,82.7,74.1,17,0
99,11,68.2,55,63,60,65.7,66.5,79,0
99,13,65.8,66,70,55,61.7,64.1,30,1
99,9,79.6,53,62,56,88.7,77.9,36,1
1,18,90.8,57,75,54,84.7,89.1,31,1
99,6,66.3,65,61,59,72.7,64.6,35,1
99,6,59.3,60,57,57,64.7,57.6,55,1
99,12,62.2,69,71,58,61.7,60.5,72,1
1,17,86.6,54,66,53,84.7,84.9,12,1
1,9,65.5,64,63,58,67.7,63.8,39,1
1,10,59.9,59,59,58,63.7,58.2,64,1
1,10,71.1,65,63,58,83.7,69.4,63,1
1,12,74.1,51,65,59,61.7,72.4,72,1
1,10,71.3,59,59,55,73.7,69.6,20,0
99,15,77.1,57,62,54,73.7,75.4,32,1
1,16,86.1,52,68,59,85.7,84.4,27,1
99,10,66.7,59,56,54,76.7,65,16,1
99,16,73.7,54,58,53,70.7,72,17,1
1,12,78.3,62,64,58,78.7,76.6,40,1
1,9,65.8,59,59,54,52.7,64.1,28,0
1,7,58,53,57,54,57.7,56.3,19,1
1,10,73.4,54,60,55,79.7,71.7,14,1
99,5,53.5,55,61,58,63.7,51.8,64,1
1,10,66.7,53,46,53,81.7,65,6,0
1,4,44.7,66,61,60,56.7,43,69,1
1,15,77.8,54,62,52,83.7,76.1,2,0
99,2,52.5,63,58,59,52.7,50.8,54,1
1,8,56.8,51,52,52,65.7,55.1,6,1
99,8,54.9,52,56,53,64.7,53.2,30,1
